Race,1,2,3,4,5,6,7,8,9,10,11
President and Vice President,Donald J Trump / Michael R Pence,Joseph R Biden / Kamala D Harris,Jo Jorgensen / Jeremy (Spike) Cohen,Howie Hawkins / Angela Walker,Dario Hunter / Dawn Neptune Adams,Write-in,,,,,
US Senator,Jo Rae Perkins,Jeff Merkley,Ibrahim A Taher,Gary Dye,Write-in,,,,,,
"US Representative, 1st District",Suzanne Bonamici,Suzanne Bonamici,Suzanne Bonamici,Christopher C Christensen,Write-in,,,,,,
"US Representative, 3rd District",Earl Blumenauer,Earl Blumenauer,Earl Blumenauer,Joanna Harbour,Alex C DiBlasi,Josh Solomon,Write-in,,,,
"US Representative, 5th District",Matthew James Rix,Amy Ryan Courser,Kurt Schrader,Write-in,,,,,,,
Secretary of State,Nathalie Paravicini,Nathalie Paravicini,Nathalie Paravicini,Kyle Markley,Kim Thatcher,Kim Thatcher,Kim Thatcher,Shemia Fagan,Shemia Fagan,Shemia Fagan,Write-in
State Treasurer,Michael P Marsh,Tobias Read,Chris Henry,Jeff Gudman,Write-in,,,,,,
Attorney General,Ellen Rosenblum,Lars D H Hedbor,Michael Cross,Write-in,,,,,,,
"State Senator, 14th District",Harmony K Mulkey,Harmony K Mulkey,Harmony K Mulkey,Kate Lieber,Kate Lieber,Kate Lieber,Write-in,,,,
"State Senator, 18th District",Ginny Burdick,Write-in,,,,,,,,,
"State Senator, 21st District",Kathleen Taylor,Kathleen Taylor,Kathleen Taylor,Write-in,,,,,,,
"State Senator, 22nd District",Lew Frederick,Write-in,,,,,,,,,
"State Senator, 23rd District",Michael Dembrow,Michael Dembrow,Michael Dembrow,Write-in,,,,,,,
"State Senator, 25th District",Justin Hwang,Justin Hwang,Justin Hwang,Chris Gorsek,Chris Gorsek,Chris Gorsek,Write-in,,,,
"State Representative, 27th District",Sandra Nelson,Sandra Nelson,Sandra Nelson,Sheri Schouten,Sheri Schouten,Sheri Schouten,Write-in,,,,
"State Representative, 31st District",Brad Witt,Brian G Stout,Write-in,,,,,,,,
"State Representative, 33rd District",Dick Courter,Maxine E Dexter,Maxine E Dexter,Maxine E Dexter,Write-in,,,,,,
"State Representative, 35th District",Dacia Grayber,Dacia Grayber,Dacia Grayber,Bob Niemeyer,Write-in,,,,,,
"State Representative, 36th District",James A Ball,Lisa Reynolds,Lisa Reynolds,Lisa Reynolds,Write-in,,,,,,
"State Representative, 38th District",Patrick Castles,Andrea Salinas,Write-in,,,,,,,,
"State Representative, 41st District",Karin Power,Karin Power,Karin Power,Michael Newgard,Write-in,,,,,,
"State Representative, 42nd District",Rob Nosse,Rob Nosse,Rob Nosse,Write-in,,,,,,,
"State Representative, 43rd District",Tawna Sanchez,Tawna Sanchez,Tawna Sanchez,Write-in,,,,,,,
"State Representative, 44th District",Tina Kotek,Tina Kotek,Tina Kotek,Margo Logan,Write-in,,,,,,
"State Representative, 45th District",Barbara Smith Warner,Barbara Smith Warner,Barbara Smith Warner,Write-in,,,,,,,
"State Representative, 46th District",Khanh Pham,Khanh Pham,Khanh Pham,Write-in,,,,,,,
"State Representative, 47th District",Diego Hernandez,Ryan Gardner,Ashton Simpson,Write-in,,,,,,,
